run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative
117,0.8769464769998194,0,58,12622271,6,251352,5817662,0,0.0,84.375,316125.02920552465,0,0
118,0.8581507720000445,0,61,12675837,1,251352,5845247,0,0.0,36.60625076293945,322456.95444613456,0,0
119,0.8652532839996638,0,62,12658300,8,251352,5813694,0,0.0,48.6640625,315516.4094883511,0,0
120,0.8562920379999923,0,59,12640480,12,251352,5786916,0,0.0,322.9921875,324515.1280233856,0,0
121,0.8419506959999126,0,61,12555667,8,251352,5744091,0,0.0,61.75390625,329965.0302155945,0,0
122,0.8455997370001569,0,64,12619506,2,251352,5816852,0,0.0,54.07421875,330630.035720852,0,0
123,0.8443820789998426,0,71,12525115,2,251352,5712930,0,0.0,55.18359375,338067.2651499885,0,0
124,0.8330431609997504,0,63,12544414,2,251352,5781938,1,0.0,164.2890625,337720.9237175214,0,0
125,0.800985342000331,0,65,12488930,5,251352,5770384,1,0.0,55.86445236206055,339801.8396256467,0,0
126,0.822550450000108,0,67,12614319,8,251352,5773181,0,0.0,129.53125,332729.48726486147,0,0
127,0.7952950740000233,1,67,12578353,0,251352,5807521,0,0.0,62.13671875,347041.2045238483,0,0
128,0.9082058940002753,0,58,12491093,2,251352,5767494,0,0.0,84.4453125,348382.91854202846,0,0
129,0.9113989890001903,0,58,12580570,7,251352,5794051,0,0.0,60.75507736206055,347665.06264610717,0,0
130,0.9142752779998773,0,62,12670597,3,251352,5830586,3,0.0,112.92578125,344448.20299602905,0,0
131,0.9236993019999318,0,65,12600980,4,251352,5782895,0,0.0,119.18359375,360027.92957449215,0,0
132,0.9563375990001077,0,58,12683218,5,251352,5822985,0,0.0,71.4921875,352435.6249978645,0,0
133,0.9457140399999844,0,60,12530244,6,251352,5759482,0,0.0,120.6015625,350440.00724305306,0,0
134,0.9508219939998526,0,66,12625369,7,251352,5810268,0,0.0,117.703125,364579.8583731485,0,0
135,0.9491986849998284,0,67,12704005,8,251352,5829685,1,0.0,44.2109375,357070.4819530425,0,0
136,0.835293972999807,0,63,12561043,2,251352,5762355,0,0.0,116.88932037353516,369110.7746037782,0,0
137,0.8176424100001896,0,58,12556126,6,251352,5781737,0,0.0,117.044921875,372813.7988818359,0,0
138,0.8322770340000716,0,61,12595037,15,251352,5774462,5,0.0,72.8828125,377484.3113173987,0,0
139,0.8153665200002251,0,62,12586317,3,251352,5795675,0,0.0,47.26301956176758,377758.52685611567,0,0
140,0.9145112589999371,0,58,12618683,5,251352,5828383,0,0.0,51.580078125,368718.43892731034,0,0
141,0.8997863209997377,0,63,12631989,9,251352,5784978,0,0.0,154.2682342529297,400452.36621308915,0,0
142,0.9017410430001291,0,70,12673250,5,251352,5806411,0,0.0,92.37109375,382827.5310134827,0,0
143,0.908520721000059,0,58,12488916,4,251352,5760836,0,0.0,129.078125,399253.1406300575,0,0
144,0.8685892489997968,0,62,12632799,6,251352,5780297,0,0.0,162.3125,398555.1713902182,0,0
145,0.8640215069999613,0,60,12555434,4,251352,5804393,0,0.0,79.11849212646484,404739.88185827585,0,0
146,0.8715766590003113,0,59,12585643,9,251352,5821590,0,0.0,117.99609375,404843.21812403726,0,0
147,0.8525693280002997,0,64,12603008,5,251352,5787978,0,0.0,142.22265625,418321.3628975875,0,0
148,0.925234274000104,0,63,12667428,13,251352,5787928,8,0.0,54.28515625,404125.5181726707,0,0
