variant,support,radius_mm,mean_rsp,std_rsp,pixels,dataset,ddb,fov_mm,hann
s2_fov210_hann0,False,29.625,1.012046781200637,0.018870872591974786,4548,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,29.875,1.013564245026571,0.018662614641995576,4816,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,30.125,1.0140291801476562,0.018569710303177393,4624,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,30.375,1.012460791516578,0.018709141366008982,4872,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,30.625,1.0130149518740794,0.01817414345703445,4716,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,30.875,1.0144689951929284,0.017965536399202932,4912,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,31.125,1.0146785269601033,0.017727885952050226,4824,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,31.375,1.0141712821889342,0.018501182019366198,5016,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,31.625,1.0136384566909955,0.01812290232127731,4880,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,31.875,1.0129655699838291,0.01749686953726921,5060,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,32.125,1.0123867568211815,0.017797036385158067,5008,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,32.375,1.012807802636494,0.019043867399158344,5160,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,32.625,1.0142884412483804,0.02007549250580304,5024,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,32.875,1.0146300579220489,0.019294695685796323,5252,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,33.125,1.014400626632985,0.018495707052253806,5128,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,33.375,1.0143617397757718,0.017535778266352227,5312,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,33.625,1.0142768794266273,0.017211638152937737,5232,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,33.875,1.012522084345398,0.016763358670442832,5364,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,34.125,1.0110652976815242,0.017305491094548944,5312,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,34.375,1.0123983439631188,0.01786933705420295,5408,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,34.625,1.0144961596192683,0.018408749212168084,5440,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,34.875,1.0151050984967525,0.0182887158079741,5516,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,35.125,1.0143409529114538,0.01820421699342194,5464,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,35.375,1.012984511256218,0.0181096911242541,5640,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,35.625,1.0136358301740054,0.017645032747998356,5504,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,35.875,1.0145266607778365,0.018175096907306534,5728,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,36.125,1.0134654670890024,0.017753678467995342,5612,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,36.375,1.0129964456292402,0.018407190246742984,5776,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,36.625,1.0133910993425435,0.018170459280520652,5648,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,36.875,1.0138059354022793,0.017551193949414606,5888,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,37.125,1.0139817117606307,0.0182116674476172,5740,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,37.375,1.014282776580024,0.017765274824475916,5936,vacuum,corrected,210.0,0.0
