run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative,dataset,candidate,selected_train,reused,finite
161,0.5779253590008011,1,60,12951030,0,251352,5918622,0,0.0,42.064453125,263911.2935425666,0,0,s3,baseline_3sigma,52325,False,True
162,0.5984026540027116,0,63,12819244,4,251352,5899666,0,0.0,49.45963668823242,259148.02181213375,0,0,s3,baseline_3sigma,51897,False,True
163,0.5996430320010404,0,65,12913623,1,251352,5954121,0,0.0,25.262109756469727,260270.27696563146,0,0,s3,baseline_3sigma,52243,False,True
164,0.5459996919962578,0,65,12646969,5,251352,5824429,0,0.0,37.21744918823242,263152.6591036042,0,0,s3,baseline_3sigma,51174,False,True
165,0.6057342909989529,0,65,12888910,14,251352,5922125,0,0.0,38.18331527709961,263106.01360802655,0,0,s3,baseline_3sigma,52290,False,True
166,0.6499306650002836,1,72,12860885,0,251352,5900965,0,0.0,20.99609375,257429.2530443564,0,0,s3,baseline_3sigma,52146,False,True
167,0.6578273409977555,0,59,12934673,2,251352,5967616,0,0.0,69.60104370117188,261003.39617162984,0,0,s3,baseline_3sigma,51987,False,True
168,0.5695186950033531,1,70,12877789,0,251352,5958804,0,0.0,27.200428009033203,259863.8593039854,0,0,s3,baseline_3sigma,51941,False,True
169,0.5180753290042048,0,70,12804462,3,251352,5886247,0,0.0,34.59375,260174.6802832981,0,0,s3,baseline_3sigma,51663,False,True
170,0.57442211000307,1,69,12798732,0,251352,5901889,0,0.0,40.462890625,262050.18716283623,0,0,s3,baseline_3sigma,51661,False,True
171,0.6029654509984539,0,63,12820343,8,251352,5941384,8,0.0,162.0924530029297,261482.31491742717,0,0,s3,baseline_3sigma,52037,False,True
172,0.6041263559964136,1,70,12879340,0,251352,5899344,0,0.0,32.04296875,255070.58603672325,0,0,s3,baseline_3sigma,52133,False,True
173,0.6057077769946773,0,67,12884900,3,251352,5934721,0,0.0,19.70703125,255964.34515425563,0,0,s3,baseline_3sigma,52171,False,True
174,0.5864851080041262,0,67,12857572,8,251352,5942531,0,0.0,32.5375862121582,262042.67606584303,0,0,s3,baseline_3sigma,52174,False,True
175,0.5437086020028801,1,64,12788515,0,251352,5929600,0,0.0,37.671875,266008.25313185866,0,0,s3,baseline_3sigma,51833,False,True
176,0.5674870639995788,1,55,12913202,0,251352,5984030,0,0.0,32.56354904174805,257359.30457727093,0,0,s3,baseline_3sigma,52356,False,True
177,0.6309348680006224,0,58,12846510,3,251352,5976098,0,0.0,28.623666763305664,261777.7745350136,0,0,s3,baseline_3sigma,52090,False,True
178,0.538265830000455,0,64,12762915,1,251352,5845233,0,0.0,77.45563507080078,267678.32668797375,0,0,s3,baseline_3sigma,51850,False,True
179,0.6253785859953496,1,63,12964120,0,251352,5957403,0,0.0,27.88671875,254767.33122208656,0,0,s3,baseline_3sigma,52348,False,True
180,0.5985624729946721,0,63,12809917,2,251352,5904813,0,0.0,25.857421875,259298.24975399437,0,0,s3,baseline_3sigma,51879,False,True
181,0.5570265689966618,1,66,13021635,0,251352,6011874,0,0.0,44.75027847290039,255226.69141011368,0,0,s3,baseline_3sigma,52518,False,True
182,0.6029455780007993,0,63,12906590,3,251352,5921199,0,0.0,39.65625,258088.77019318638,0,0,s3,baseline_3sigma,51968,False,True
183,0.5769694670016179,0,60,12754254,8,251352,5838501,0,0.0,47.108985900878906,265888.7152680967,0,0,s3,baseline_3sigma,51555,False,True
184,0.5812440649970085,0,58,12904953,1,251352,5938625,0,0.0,31.44921875,258417.802968009,0,0,s3,baseline_3sigma,52341,False,True
185,0.5953512039995985,0,58,12803994,1,251352,5889006,0,0.0,112.70220947265625,265353.79790999566,0,0,s3,baseline_3sigma,51898,False,True
186,0.5533837019975181,0,62,12884665,1,251352,5916266,0,0.0,61.20833206176758,255568.86966928214,0,0,s3,baseline_3sigma,52311,False,True
187,0.6140225609997287,1,66,12941914,0,251352,5955397,0,0.0,90.2734375,258692.8643513057,0,0,s3,baseline_3sigma,52427,False,True
188,0.6004752839944558,0,60,12809798,1,251352,5916652,0,0.0,46.345703125,262984.8814491297,0,0,s3,baseline_3sigma,52119,False,True
