dataset,run_id,variant,accepted_train,weight_min,weight_median,weight_max,effective_sample_size,effective_fraction
s2,300,robust_confidence,60514,0.8334547877311707,1.0,1.0,60507.59158531353,0.9998941002960229
s2,300,combined,60514,0.3381608724594116,1.0,4.0,40161.15130695447,0.66366710690013
s2,301,equal,60726,1.0,1.0,1.0,60726.0,1.0
s2,301,inverse_variance,60726,0.33826425671577454,1.0,4.0,40259.91213805786,0.6629765197453785
s2,301,robust_confidence,60726,0.833602249622345,1.0,1.0,60719.812469306584,0.9998981073890357
s2,301,combined,60726,0.30308935046195984,1.0,4.0,40261.42044565149,0.6630013576664278
s2,302,equal,60682,1.0,1.0,1.0,60682.0,1.0
s2,302,inverse_variance,60682,0.3379976153373718,1.0,4.0,40223.31903023438,0.6628542076766484
s2,302,robust_confidence,60682,0.8334497213363647,1.0,1.0,60676.43095143769,0.9999082256919298
s2,302,combined,60682,0.3139811158180237,1.0,4.0,40225.2113172001,0.6628853913384545
s2,303,equal,60665,1.0,1.0,1.0,60665.0,1.0
s2,303,inverse_variance,60665,0.3369283378124237,1.0,4.0,40191.2146697999,0.6625107503469859
s2,303,robust_confidence,60665,0.8336969017982483,1.0,1.0,60658.870020207,0.9998989536010385
s2,303,combined,60665,0.30559349060058594,1.0,4.0,40200.06085762014,0.662656570635789
s2,304,equal,60114,1.0,1.0,1.0,60114.0,1.0
s2,304,inverse_variance,60114,0.3384302258491516,1.0,4.0,39913.11553422095,0.6639570737968019
s2,304,robust_confidence,60114,0.8335506916046143,1.0,1.0,60108.59425452455,0.999910075099387
s2,304,combined,60114,0.31307440996170044,1.0,4.0,39921.93661131627,0.6641038129440109
s2,305,equal,60600,1.0,1.0,1.0,60600.0,1.0
s2,305,inverse_variance,60600,0.33757367730140686,1.0,4.0,40191.928058919635,0.6632331362858026
s2,305,robust_confidence,60600,0.8333414793014526,1.0,1.0,60593.725756351436,0.9998964646262614
s2,305,combined,60600,0.3182256817817688,1.0,4.0,40190.52911174875,0.6632100513489892
s2,306,equal,60787,1.0,1.0,1.0,60787.0,1.0
s2,306,inverse_variance,60787,0.33811092376708984,1.0,4.0,40323.87557804296,0.663363475381956
s2,306,robust_confidence,60787,0.833632230758667,1.0,1.0,60780.446452206605,0.9998921883331404
s2,306,combined,60787,0.33845648169517517,1.0,4.0,40325.13232249991,0.6633841499415978
s2,307,equal,60101,1.0,1.0,1.0,60101.0,1.0
s2,307,inverse_variance,60101,0.33814337849617004,1.0,4.0,39872.433598604264,0.6634237965858183
s2,307,robust_confidence,60101,0.8333746194839478,1.0,1.0,60094.89473056591,0.9998984165083095
s2,307,combined,60101,0.338533490896225,1.0,4.0,39878.13418959988,0.6635186467712664
s2,308,equal,60689,1.0,1.0,1.0,60689.0,1.0
s2,308,inverse_variance,60689,0.33863914012908936,1.0,4.0,40206.06906060456,0.662493517121794
s2,308,robust_confidence,60689,0.8333424925804138,1.0,1.0,60683.330968217946,0.9999065888088112
s2,308,combined,60689,0.304231733083725,1.0,4.0,40205.858426256265,0.6624900464047235
s2,309,equal,60165,1.0,1.0,1.0,60165.0,1.0
s2,309,inverse_variance,60165,0.3379526436328888,1.0,4.0,39872.55248644358,0.6627200612722277
s2,309,robust_confidence,60165,0.8333942294120789,1.0,1.0,60159.23064408389,0.9999041077716926
s2,309,combined,60165,0.3120957612991333,1.0,4.0,39881.570820998015,0.6628699546413698
s2,310,equal,60159,1.0,1.0,1.0,60159.0,1.0
s2,310,inverse_variance,60159,0.3385201096534729,1.0,4.0,39907.68434995343,0.6633701416239205
s2,310,robust_confidence,60159,0.8336052298545837,1.0,1.0,60152.98442435381,0.9999000053916091
s2,310,combined,60159,0.3100389242172241,1.0,4.0,39909.84841709402,0.6634061140825815
s2,311,equal,60517,1.0,1.0,1.0,60517.0,1.0
s2,311,inverse_variance,60517,0.3383302092552185,1.0,4.0,40091.264593918015,0.6624793792474514
s2,311,robust_confidence,60517,0.8334630131721497,1.0,1.0,60511.701639433406,0.9999124483935655
s2,311,combined,60517,0.33860132098197937,1.0,4.0,40091.40877362946,0.6624817617137244
s2,312,equal,60480,1.0,1.0,1.0,60480.0,1.0
s2,312,inverse_variance,60480,0.337860643863678,1.0,4.0,40069.623161039264,0.6625268379801466
s2,312,robust_confidence,60480,0.8334245681762695,1.0,1.0,60473.79097530241,0.9998973375546033
s2,312,combined,60480,0.3101324141025543,1.0,4.0,40082.08175661711,0.6627328332773993
s2,313,equal,60551,1.0,1.0,1.0,60551.0,1.0
s2,313,inverse_variance,60551,0.3371959328651428,1.0,4.0,40149.89825531731,0.6630757255093609
s2,313,robust_confidence,60551,0.8336015939712524,1.0,1.0,60545.1697270607,0.99990371301978
s2,313,combined,60551,0.32095304131507874,1.0,4.0,40158.205807340855,0.6632129247632715
s2,314,equal,60548,1.0,1.0,1.0,60548.0,1.0
s2,314,inverse_variance,60548,0.33802419900894165,1.0,4.0,40107.618382582565,0.6624102923727053
s2,314,robust_confidence,60548,0.8333969116210938,1.0,1.0,60541.61790894334,0.9998945945191144
s2,314,combined,60548,0.33644768595695496,1.0,4.0,40116.90760845405,0.6625637115751809
s2,315,equal,61181,1.0,1.0,1.0,61181.0,1.0
s2,315,inverse_variance,61181,0.3378671109676361,1.0,4.0,40512.44722569236,0.662173668715653
s2,315,robust_confidence,61181,0.8338202834129333,1.0,1.0,61174.93736541489,0.9999009065790831
s2,315,combined,61181,0.299450159072876,1.0,4.0,40520.79259957247,0.6623100733818093
s2,316,equal,60035,1.0,1.0,1.0,60035.0,1.0
s2,316,inverse_variance,60035,0.33749523758888245,1.0,4.0,39730.78847972752,0.6617937616345052
s2,316,robust_confidence,60035,0.8335049748420715,1.0,1.0,60028.58759477414,0.999893188886052
s2,316,combined,60035,0.32154497504234314,1.0,4.0,39744.230842943,0.6620176704079787
s2,317,equal,60779,1.0,1.0,1.0,60779.0,1.0
s2,317,inverse_variance,60779,0.3384605050086975,1.0,4.0,40300.40733118876,0.6630646659403537
s2,317,robust_confidence,60779,0.8338335156440735,1.0,1.0,60773.57818346791,0.999910794574901
s2,317,combined,60779,0.30677351355552673,1.0,4.0,40305.48433028218,0.6631481980664733
s2,318,equal,60272,1.0,1.0,1.0,60272.0,1.0
s2,318,inverse_variance,60272,0.33826401829719543,1.0,4.0,39892.20197704644,0.6618695576228836
s2,318,robust_confidence,60272,0.8335182070732117,1.0,1.0,60266.32895161641,0.9999059090724782
s2,318,combined,60272,0.31312504410743713,1.0,4.0,39896.490287244545,0.6619407069160563
s2,319,equal,60272,1.0,1.0,1.0,60272.0,1.0
s2,319,inverse_variance,60272,0.3376823663711548,1.0,4.0,39909.66436754203,0.6621592840380612
s2,319,robust_confidence,60272,0.8339859843254089,1.0,1.0,60265.98305082499,0.9999001700760716
s2,319,combined,60272,0.3194625675678253,1.0,4.0,39915.42880777065,0.6622549244719049
s2,320,equal,60408,1.0,1.0,1.0,60408.0,1.0
s2,320,inverse_variance,60408,0.33767369389533997,1.0,4.0,40022.52407126006,0.6625368174953657
s2,320,robust_confidence,60408,0.8336925506591797,1.0,1.0,60402.14325474115,0.9999030468603687
s2,320,combined,60408,0.3082596957683563,1.0,4.0,40021.494111636304,0.6625197674419995
s2,321,equal,60291,1.0,1.0,1.0,60291.0,1.0
s2,321,inverse_variance,60291,0.33712273836135864,1.0,4.0,40008.54374289887,0.6635906477401083
s2,321,robust_confidence,60291,0.8334258198738098,1.0,1.0,60285.16824565701,0.9999032732191706
s2,321,combined,60291,0.3031059205532074,1.0,4.0,40008.20041727789,0.6635849532646314
s2,322,equal,60185,1.0,1.0,1.0,60185.0,1.0
s2,322,inverse_variance,60185,0.3376045227050781,1.0,4.0,39883.30867079925,0.6626785523103639
s2,322,robust_confidence,60185,0.8333714604377747,1.0,1.0,60178.70780922173,0.999895452508461
