dataset,run_id,total,train,validation,test,pairs_mhd_sha256,validation_mask_sha256,test_mask_sha256
s4,58,87682,70258,8659,8765,ff91006c83ac9ebcc306e9c173a08f43b01372d3cb4bf95d7bc61b983d5c47e1,86242619f936599f10520378f157d051219cad74651c4936c89f0f9b2776362c,873fcaaef6e6bf0ad7e8b28ab43585be144cc68f8c41a1c8723d90c3da1c8078
s4,59,87094,69813,8684,8597,977fd2ecf1c796a7d1c06751288c1a6cffcd9c799ed285fee538c5afdfe88f4c,64b659ba63d2075a3a6062f2e6fadf7a95ebd45ce1f304fb66755d02f4758557,c2cbc0593d07399b12eccdc0e3ce48792dc8bd4b6979966aea8dc771fa3d6b07
s4,60,87616,70013,8844,8759,e4667749036c08b75263340c0c57d6507d1c7848cd7cc3f2a07740f2367c8ad8,9809d6d55c4b35492dcef1a7be47329ef7f5656bd13c43bf4d840004e4b30d30,d415f0c74fe05a46240c16bfd76746dd05125a922f3f4f9230d04e4237ccacca
s4,61,88338,70577,8864,8897,58150d1d70924b059b383b987cfb37fd2e472c2416734c18b778e898475156b4,c4c278829a04b8397cb5bfbe9df33bcc875836b8074e8c936048a92dd77c0f9e,1fdd023594a462f3ef1f4c0bd8f19263302ae2c653be514d58afb943cd2cca0c
s4,62,88480,70789,8846,8845,48c1cc4f94c8ed002a5e94184b62e73fedeeef16aa124d98b3152516fb1682cd,e43cb7850cdf39071c0cef8606814ebc42c385e82f77ca5b51e63fb4465484d8,2571cfc3bb871bd22e65a957b7a9422616fae1bc58716dacf2f486b5cae72bbb
s4,63,88040,70187,8848,9005,6c0f420c350325e5516e0c2ce5fef4cc98dfbf245d6440fcc6b9b710d61909a2,ee424d9298cec1f2730a36ada63fb6c866e9689faf28bf867f5e14665a594b13,ad32e917a6729ae1caa3428f0723654f96478531c55d9ccccef493f99d20ef3d
s4,64,87531,69998,8697,8836,50fc02ddca862d7c2ee8ec4d15fdc7b167d8f4f67ba285aebca823db2cc6100d,093b987f645a32ac35315b5f87f91eff5d76ddff3f15352ed648bed990ab9a14,5e7b2ed80de9885eb9580bb7b425e357d4760ba8f0de0238cad0b889caddbfb3
s4,65,88360,70666,8851,8843,cd9e3c927532f3064f89d659a020c3640f85425c0e6abf1ae975746d65eba13f,2ebd4886656f6489d1f01829d82f732c29792ac9cbc69098fa2bbd57c4506826,88b39020aa0f480f0a2594e406d355827a7d9ef7e5812cff3b24d8c04b846b07
s4,66,88045,70549,8782,8714,50557d3500a1e1e4058a8a7409ef335cdb69a0255524ff63633d7e3b98347cc8,bbad0fe43ba725a3102c254d06b8e72bf6698a0f4405e305dbe51abaebbc579e,64fa6369e03fea9940456b8bbe48a472ef660f84388e736e5a24c6f71e30d71a
s4,67,87691,70077,8825,8789,61fb89604517029943cf63c64a161d0a4b50766cc34008c9384a635b21509d40,5bba369bbba2b73c8bb5491ea886e9d6176b63b14a8e5210aec3441139590f9d,4b94d9a90b7077724bb7158a14c474281eb2f6826428874bd55a0243f5318514
s4,68,88297,70486,8988,8823,9b2dad65e836d60e365686de4dd829b56300d38f8dd51c967dc73a8a9e58e4ea,35c3f43cb9a28c0b42417b0fef14eb47e425e11a9a09ddf2a1ad94e9b9a612a9,5e79782f5fda2cadf4d9a9ecd5bb7824cac19cf84db90f9bdeac65cb872af6ed
s4,69,87919,70215,8850,8854,82639ca580dcbece86caa2af06824ed910859177c250f143c74d0326010a0214,1fe652f9ae145f77dc6d1d4136c569121400264a0e0624eaf4dc996280ced546,2391937fd6e9bbf7236d09d8441823bf4d2b6a5d9e9217c0fcf29c7679ca643f
s4,70,87778,70166,8751,8861,a2d31e451edca0e97eba371feadfd46b1616d454de7774839c692b71dd28c070,9f970a1b3af4ff1c588ae93c45a235ff9f18d7521e8b2eb58e8445a20e7b3cf7,6b068f224b5fe887d43df43c49028a1d7675f07a18526cf096debc0068a04f97
s4,71,87822,70105,8813,8904,b314a98cd1cfeaf4b4bd9cd1286b6ef73fd74347f504230cbe82feb8525c4f96,e9e6fdca18c44a32e17e772fb44a0b411bc7cd4cab21b21d537814af7429769d,c0d337e4ac2a1fe0b9182948f86d848a72f3ea8443ea21c557149ede4231962d
s4,72,87569,69995,8788,8786,ef787b52d07d5a795b9f3ddfd8f91b7330c7c1e12e9b285402ce809441e71592,b53415a81062c514ec94a9a2809d5ac4af31b7115a7868e6bc63bcd17da58582,2b39301ec4712a4dcd57cccb33ae01f5e33a582d08f7f2a3bf78452ea2e0a7a3
s4,73,87759,70196,8682,8881,9215614d993f750228d92a7380fa2c9dcd2fb5e40216070ffdad5088b6ac519e,67034d8ae36041c12c9e05c763cede8950f806888e133512040834cb3730652c,aad8bd118f13246d594432e69de9935a37ff4e3cdb9407eb646f6d67f51ae0a8
s4,74,87506,69828,8929,8749,ea2ab89e27f4f36af15e6676c15c379b1417c1ecc18d9be3b6788a0bd22d78cc,af122dfc32e29595b5643863f153e2ba1da75e0b5653e77fa6a01ea7b073c274,3bc16f21edbcac131d87a509b24c0053244d8a854007c565a9f5a8d8fcb58a1e
s4,75,87379,69813,8796,8770,2996764c57c8d37df258d8f3b315907338e335dc685974aaedc20318599c203b,1545cbf89cdaaa393fa915f8bbe8a96949e9abec359282dca33eebd575d0f636,63cff019fa47350c53e58a458ea66fb74352a52864d22f16f6207cd4f0086cbe
s4,76,87723,70018,8881,8824,67a2e5241fb7880054bee6f1bbcb166c789f46f2c8c57c53357969376db959e1,2486e10b37530898c4297fc4363aa47a5770cff67f4e07e1a900696984446714,b3cc0fe66eba3e17f7d743b67ac891209048f5325b8e8a94ec5599c637e6ccf6
s4,77,87449,69700,8882,8867,c2065a65696ed680d72ee21184f4aae524bbb9f2749c10d6f1edd309fd50418f,d45fed426f4cea883424f6e1b82be6d3453996f854046ed79136254fe9218152,76cedd9c7bba0b07f05b4d4de09504b1cd54716c4b0df4f9dada7fed78db07ac
s4,78,87648,70003,8890,8755,aad2e1c88c8a6306fb272ae0b089d605b14d7578c16b5e33cbb3869d4fe74a42,318e95399fd103fc477f5266efe6c9811d464c70accfd4455bfd0e9c33301c7f,6b261c71a333493915ec4880d6008a31204f08b0ed06373f144ce2e185e1b002
s4,79,87681,70075,8860,8746,28f5029e3c1dfb43c12f5d57ac4ddf7c8a0f141c25a7bbaaf0b7a0cb75ce7317,4f4dcfd502e84ef858081e47acb52da3470a4afed9ab297c54c42dc22e8b52b5,1d863c49b8ffb0367aff3941917288152060a844f7070b84a4d48ba16c1e36db
s4,80,88161,70634,8717,8810,27b10ff58cba56b0fc52422d798e013bfa2d474a8149a440db384aa704d38783,195ba6919da5ebdb9beedaf82f1d03e85c9d90dbdb33ae5fbc843144c78931af,bc6bb1643654623c29ea52760fbff50d98bda36b376f2f81e8ded4cb1b0b216c
s4,81,87918,70316,8973,8629,3e000a713b7d191e0d9dd7736c88cc8fd0a383607ff52abb949ba115ecb72ba6,4c41e9160c722df6c73f64e7afbe07d90d1de90522132053817f1fec62e4423e,9e548ade2c4922c72ebc09db3bbe0ec6417a796c84511f395f3d02858ad6920d
s4,82,87767,70338,8780,8649,26ac0c534f22a46f98c53363ef42f32997e679438811161b49995a7409dcdd3a,f732b3737be41570978ff4e53d634a92607e8b8dd8afeaf953be891c56eaa7a6,2bd6107b2b7b3969ce1d827673c56b373c6f86a741e1ebe9c62aa18c868f1504
s4,83,88063,70276,9021,8766,8010d8040f8153f7b1bc95f39da5b960fb47d7172973c6662b09f41c24f23fdc,c78096150d1f0850944b9bb6d7e4cb068ee9118c051417fe5b020d6adcc6c828,a726a836c358f6b86932c8d71fef90f25b0d68ab9fa95619d4c9b6e6510f7494
s4,84,87857,70243,8834,8780,5e2276280108c4dfe2cf7bd1b555f8575a358744111162e56efc8b344b4c3991,ad12c6770db9683fe3004c48a18a6fba7eb6395d076bed0a5176c7c4f3af2adf,90ddf6e3acf835b69bc9da4b6808832b9bac6106f41b038cdc3dfa328e702604
s4,85,87524,70099,8726,8699,4ac68503fcf93c1515d554d345adc1c5c460b222cec980feb489856f0c34bff5,8f01acb43bf693de4f3baba92ce35c5523ba1f9a4613d06b074da0fa486f46ca,e1282cee126b4f61052b94ae12d101faddb23ae741b65ec532b6fb18688eb86c
s4,86,87508,69693,8924,8891,fef1222ae13248b16e5f6b2e2a49ce883065667894c1832bb444671c8a8f3092,6f82bd4a1a6d30e0ea22fcae265ac48d05f3976d3114cdf2b13a757c4e7a3e79,2970c4769e95eb25be5c0181f4181890228e3091b2cbf90cf2d243e2c1d2a624
s4,87,87828,70175,8784,8869,de544c9aea7536309de900a62fee895bfe022300b6a83807184e7bae39501dad,2d0b1e701f18e356d09c61622c8b1feacf3ade0d826827285fe1a1cd271ec952,2584e863a7683860d41ec71d973d5ffd772df0497e92f16107bf37b8e6466cc7
s4,88,87676,70105,8861,8710,e780e4b41130cd6dc3ce8dc38929d4d90c84e7c90bfdec75a8eed3678989e3c3,08133c06edea8da499cc74c2ad36069ac97cba08ab30022183febe186e7c87ab,4100176c17cdcdbaf401f9700775086f4a802ca3e2b3b818c872864f408d1da8
s4,89,87883,70243,8893,8747,b62beb6299e9cbc38623b140125c5b921e7c774e1302575a21d3d6af5c43cb21,b8624cf631a8f5eadfe8edd3bf46c2a3f556f122372ae77e049e71d1421e24ce,91667ce94afc79c6e5b9a0182156d58a84f443d39dcc403a4b1fb2f591b22aff
