dataset,run_id,candidate,total,inside,train_total,train_accepted,train_retention,validation_total,validation_accepted,validation_retention,test_total,test_accepted,test_retention,distance_p50,distance_p99
s2,639,baseline_3sigma,88217,78409,70359,60590,0.861154933981438,8800,7577,0.8610227272727272,9058,7787,0.8596820490174432,0.5575324892997742,5.506706237792969
s2,640,baseline_3sigma,87724,77903,69859,59995,0.8588012997609471,8902,7685,0.8632891485059537,8963,7740,0.8635501506192124,0.5600025653839111,5.304175853729248
s2,641,baseline_3sigma,87650,77879,70315,60514,0.8606129559837873,8833,7612,0.8617683686176837,8502,7342,0.8635615149376618,0.5539294481277466,5.352641582489014
s2,642,baseline_3sigma,87912,77878,70267,60194,0.8566467901006162,8873,7610,0.8576580637890229,8772,7517,0.8569311445508436,0.5635892152786255,5.288702011108398
s2,643,baseline_3sigma,87557,77711,69975,60086,0.8586780993211861,8756,7575,0.8651210598446779,8826,7584,0.8592794017675051,0.5621906518936157,5.325166702270508
s2,644,baseline_3sigma,87871,77760,70321,60244,0.8566999900456478,8902,7661,0.8605931251404179,8648,7389,0.8544172062904718,0.5459058880805969,5.390596866607666
s2,645,baseline_3sigma,87872,77999,70204,60354,0.8596946042960515,8837,7567,0.8562860699332353,8831,7583,0.8586796512286264,0.5599992275238037,5.293118000030518
s2,646,baseline_3sigma,87872,77870,70493,60562,0.859120763763778,8701,7444,0.8555338466842891,8678,7465,0.8602212491357456,0.566123366355896,5.406022071838379
s2,647,baseline_3sigma,88088,78142,70650,60672,0.8587685774946922,8792,7543,0.8579390354868062,8646,7451,0.8617857969003008,0.5596627593040466,5.332605838775635
s2,648,baseline_3sigma,87744,77804,70066,60153,0.8585191105529073,9029,7709,0.8538044080186067,8649,7456,0.862064978610244,0.5463484525680542,5.268563747406006
s2,649,baseline_3sigma,88094,78195,70426,60610,0.8606196575128504,8775,7513,0.8561823361823362,8893,7631,0.8580906330821995,0.5522907376289368,5.445960998535156
s2,650,baseline_3sigma,87707,77846,70079,60233,0.8595014198261961,8747,7507,0.8582371098662398,8881,7615,0.8574484855309087,0.5656843781471252,5.416930198669434
s2,651,baseline_3sigma,88081,78299,70470,60608,0.8600539236554562,8844,7632,0.8629579375848032,8767,7543,0.8603855366716094,0.5609899759292603,5.443619728088379
s2,652,baseline_3sigma,87968,77976,70534,60496,0.8576856551450365,8746,7488,0.856162817287903,8688,7484,0.8614180478821363,0.5544630289077759,5.297966957092285
s2,653,baseline_3sigma,87602,77727,69991,60220,0.8603963366718578,8865,7573,0.8542583192329385,8746,7489,0.856277155270981,0.5565599799156189,5.414797306060791
s2,654,baseline_3sigma,87793,77864,70036,60195,0.8594865497744018,8941,7681,0.8590761659769601,8816,7568,0.8584392014519057,0.5507529973983765,5.304851531982422
s2,655,baseline_3sigma,87714,77933,70196,60459,0.8612883925009972,8857,7643,0.8629332731173084,8661,7432,0.858099526613555,0.551652193069458,5.259498596191406
s2,656,baseline_3sigma,88054,78261,70519,60654,0.8601086232079298,8756,7568,0.864321608040201,8779,7568,0.8620571819113795,0.548478901386261,5.395047187805176
s2,657,baseline_3sigma,87780,77932,70182,60398,0.8605910347382519,8861,7608,0.8585938381672498,8737,7506,0.8591049559345313,0.5498968958854675,5.433441638946533
s2,658,baseline_3sigma,87777,77926,70333,60474,0.859823980208437,8729,7456,0.8541642799862528,8715,7480,0.8582903040734366,0.5542283058166504,5.417938232421875
s2,659,baseline_3sigma,87702,77778,70184,60288,0.8589992020973441,8782,7517,0.855955363242997,8736,7500,0.8585164835164835,0.5579804182052612,5.329275131225586
s2,660,baseline_3sigma,87691,77742,70134,60312,0.8599538027205065,8653,7405,0.8557725644285219,8904,7593,0.8527628032345014,0.5479450225830078,5.204606533050537
s2,661,baseline_3sigma,88719,78866,71055,61158,0.8607135317711632,8670,7434,0.857439446366782,8994,7775,0.8644651990215699,0.5635503530502319,5.524076461791992
s2,662,baseline_3sigma,87925,77782,70286,60206,0.8565859488376063,8736,7470,0.8550824175824175,8903,7576,0.8509491182747388,0.5681402683258057,5.404052257537842
s2,663,baseline_3sigma,87835,77906,70184,60282,0.8589137125270717,8814,7596,0.8618107556160653,8837,7631,0.8635283467240014,0.5546005964279175,5.153952121734619
s2,664,baseline_3sigma,87736,77871,70230,60327,0.8589918838103374,8684,7431,0.8557116536158452,8822,7657,0.8679437769213331,0.56378173828125,5.238892078399658
s2,665,baseline_3sigma,87664,77620,70214,60327,0.8591876263992936,8795,7512,0.8541216600341103,8655,7376,0.8522241478913922,0.5587061643600464,5.3232011795043945
s2,666,baseline_3sigma,87800,77763,70248,60299,0.8583731921193486,8772,7533,0.8587551299589603,8780,7500,0.8542141230068337,0.5501341223716736,5.487070560455322
s2,667,baseline_3sigma,88454,78416,70509,60486,0.8578479343062588,8934,7636,0.8547123349003806,9011,7774,0.8627233381422705,0.5553513765335083,5.3152899742126465
s2,668,baseline_3sigma,88007,78167,70380,60541,0.860201761864166,8788,7540,0.8579881656804734,8839,7598,0.8595995022061319,0.5623785257339478,5.204252243041992
s2,669,baseline_3sigma,88023,78190,70608,60703,0.8597184455019261,8741,7521,0.8604278686649125,8674,7482,0.8625778187687342,0.5579794645309448,5.3910698890686035
s2,670,baseline_3sigma,87224,77391,69786,60010,0.8599145960507838,8742,7485,0.8562113932738504,8696,7450,0.8567157313707452,0.5617278814315796,5.312509536743164
s2,671,baseline_3sigma,87847,78007,70266,60490,0.860871545270828,8720,7488,0.8587155963302753,8861,7589,0.8564496106534252,0.5592771172523499,5.262067794799805
s2,672,baseline_3sigma,87705,77883,70119,60323,0.860294641965801,8825,7556,0.8562039660056657,8761,7560,0.8629151923296428,0.5624082684516907,5.389125823974609
s2,673,baseline_3sigma,87987,78024,70349,60422,0.8588892521571024,8692,7439,0.8558444546709618,8946,7617,0.8514419852448022,0.5587657690048218,5.308833122253418
s2,674,baseline_3sigma,87660,77851,70153,60323,0.8598776958932619,8727,7478,0.8568809441961728,8780,7595,0.8650341685649203,0.5580133199691772,5.298116207122803
s2,675,baseline_3sigma,88366,78239,70839,60732,0.8573243552280524,8694,7447,0.8565677478720957,8833,7575,0.8575795313030681,0.5611889362335205,5.229080677032471
s2,676,baseline_3sigma,87777,78045,70200,60459,0.8612393162393163,8908,7690,0.8632689717108217,8669,7414,0.8552312838851078,0.5707942843437195,5.383768081665039
s2,677,baseline_3sigma,88040,78147,70647,60776,0.8602771526037907,8710,7479,0.8586681974741677,8683,7476,0.8609927444431648,0.553091287612915,5.223620891571045
s2,678,baseline_3sigma,87800,77844,70282,60324,0.8583136507213796,8701,7451,0.8563383519135731,8817,7568,0.8583418396279914,0.5653659105300903,5.308917999267578
s2,679,baseline_3sigma,87911,77909,70361,60421,0.858728557013118,8742,7500,0.8579272477693891,8808,7534,0.8553587647593097,0.5622195601463318,5.351182460784912
s2,680,baseline_3sigma,87852,78139,70314,60523,0.8607531928207753,8735,7501,0.8587292501431024,8803,7602,0.8635692377598546,0.5571226477622986,5.20909309387207
s2,681,baseline_3sigma,87813,77856,70211,60303,0.8588825112874051,8866,7582,0.8551770809835326,8736,7503,0.8588598901098901,0.5667490363121033,5.304608345031738
