dataset,run_id,candidate,total,inside,train_total,train_accepted,train_retention,validation_total,validation_accepted,validation_retention,test_total,test_accepted,test_retention,distance_p50,distance_p99
s4,317,median_mad,88014,67620,70599,50523,0.7156333659116985,8590,6111,0.7114086146682188,8825,6312,0.7152407932011331,1.1065236330032349,10.984207153320312
s4,318,median_mad,87480,67298,69994,50134,0.7162613938337572,8721,6274,0.7194129113633757,8765,6280,0.7164860239589276,1.0975568294525146,10.89389419555664
s4,319,median_mad,87884,67248,70436,50199,0.7126895337611449,8785,6208,0.706659077973819,8663,6159,0.7109546346531225,1.1017160415649414,10.690606117248535
s4,320,median_mad,88122,67426,70417,50315,0.7145291619921326,8757,6217,0.7099463286513646,8948,6327,0.7070853822083147,1.1077865362167358,10.913479804992676
s4,321,median_mad,87760,67248,70106,49988,0.7130345476849342,8826,6339,0.7182188987083616,8828,6374,0.722020842772995,1.1020169258117676,10.756850242614746
s4,322,median_mad,88105,67578,70432,50360,0.7150159018627896,8798,6334,0.7199363491702659,8875,6345,0.7149295774647887,1.1047844886779785,10.64439868927002
s4,323,median_mad,87410,67127,69882,50035,0.7159926733636702,8797,6317,0.7180857110378538,8731,6247,0.7154965067002634,1.1004594564437866,10.804198265075684
s4,324,median_mad,87841,67100,70129,49913,0.7117312381468437,8849,6299,0.7118318454062605,8863,6347,0.7161232088457633,1.1015745401382446,10.75158405303955
s4,325,median_mad,87892,67193,70268,50151,0.7137103660272102,8750,6220,0.7108571428571429,8874,6269,0.7064457967094884,1.0957573652267456,10.697501182556152
s4,326,median_mad,87757,67089,70163,49989,0.7124695352251187,8719,6113,0.7011125129028558,8875,6338,0.7141408450704225,1.0975127220153809,10.829462051391602
s4,327,median_mad,87429,66922,69845,49867,0.7139666404180686,8695,6125,0.7044278320874066,8889,6307,0.7095286308921138,1.0920864343643188,10.661310195922852
s4,328,median_mad,88023,67312,70544,50354,0.7137956452710366,8718,6226,0.714154622619867,8761,6277,0.7164707225202602,1.0952876806259155,10.61882495880127
s4,329,median_mad,87689,67229,70150,50101,0.7141981468282252,8794,6301,0.716511257675688,8745,6280,0.7181246426529445,1.0891579389572144,10.826644897460938
s4,330,median_mad,88063,67472,70321,50177,0.7135421851225097,8927,6408,0.7178223367312647,8815,6306,0.7153715258082813,1.0925931930541992,10.762364387512207
