input_rows,input_unique_merge_keys,input_duplicates_removed,output_rows,output_unique_run_event_track_keys,output_duplicate_run_event_track_rows,matched_input_merge_keys,unmatched_input_merge_keys,pairs,primary_pairs,secondary_pairs,local_run_id,run_id,input_in,input_out
100033,100033,0,90988,90988,0,87825,12208,87825,87825,0,0,10,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_010/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_010/PhaseSpaceOut.root
100170,100170,0,91179,91179,0,88069,12101,88069,88069,0,0,11,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_011/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_011/PhaseSpaceOut.root
99662,99662,0,90586,90586,0,87478,12184,87478,87478,0,0,12,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_012/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_012/PhaseSpaceOut.root
100190,100190,0,91171,91171,0,88046,12144,88046,88046,0,0,13,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_013/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_013/PhaseSpaceOut.root
100269,100269,0,91130,91130,0,87967,12302,87967,87967,0,0,14,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_014/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_014/PhaseSpaceOut.root
100369,100369,0,91533,91533,0,88337,12032,88337,88337,0,0,15,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_015/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_015/PhaseSpaceOut.root
99795,99795,0,90831,90831,0,87700,12095,87700,87700,0,0,16,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_016/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_016/PhaseSpaceOut.root
100421,100421,0,91468,91468,0,88310,12111,88310,88310,0,0,17,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_017/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_017/PhaseSpaceOut.root
99855,99855,0,90802,90802,0,87654,12201,87654,87654,0,0,18,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_018/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_018/PhaseSpaceOut.root
100700,100700,0,91495,91495,0,88455,12245,88455,88455,0,0,19,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_019/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_019/PhaseSpaceOut.root
100145,100145,0,91094,91094,0,87884,12261,87884,87884,0,0,20,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_020/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_020/PhaseSpaceOut.root
100162,100162,0,91211,91211,0,88091,12071,88091,88091,0,0,21,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_021/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_021/PhaseSpaceOut.root
99929,99929,0,90898,90898,0,87785,12144,87785,87785,0,0,22,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_022/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_022/PhaseSpaceOut.root
