run,depth_mm,count,water_rms_mm,inhomogeneous_rms_mm
21,-11.75,3033,0.3944266237294055,0.3936019533354088
21,-11.25,3033,0.3955769097630258,0.3947791003301119
21,-10.75,3033,0.39671782095251473,0.3959459373833722
21,-10.25,3033,0.39782300777915003,0.3970752163577661
21,-9.75,3033,0.39888364814065325,0.3981589788007492
21,-9.25,3033,0.3999089700713141,0.39920510020770716
21,-8.75,3033,0.40090090455281274,0.40021570907002746
21,-8.25,3033,0.40185386492988734,0.40118434043508355
21,-7.75,3033,0.40279509964530835,0.4021403440436741
21,-7.25,3033,0.40372035323417593,0.4030781817926029
21,-6.75,3033,0.404624493754994,0.4039945786126329
21,-6.25,3033,0.40550478861654243,0.4048863896717841
21,-5.75,3033,0.40633103437037715,0.4057227211987169
21,-5.25,3033,0.407103447523737,0.4065033181001526
21,-4.75,3033,0.4078400880385932,0.40724632189044696
21,-4.25,3033,0.40852291222201037,0.40793400280535036
21,-3.75,3033,0.4091937100476823,0.40860818409647287
21,-3.25,3033,0.40986256314034814,0.40928055697645027
21,-2.75,3033,0.4105252165122462,0.4099454548289776
21,-2.25,3033,0.41116892316705544,0.41059003710956654
21,-1.75,3033,0.41180965779159373,0.4112310654160337
21,-1.25,3033,0.4124570850716221,0.4118766838114532
21,-0.75,3033,0.41306827155750675,0.41248472295043037
21,-0.25,3031,0.41377034477712765,0.4131828164277417
21,0.25,3031,0.41430217218569293,0.41370974385008563
21,0.75,3027,0.41501008007862467,0.414411074789851
21,1.25,3026,0.4154311082189217,0.4148238369793028
21,1.75,3025,0.4158139414295006,0.4151967459020362
21,2.25,3023,0.4162251428778918,0.415596406065112
21,2.75,3020,0.41665823463931484,0.4160189984345951
21,3.25,3017,0.41705759989570956,0.4164070762307015
21,3.75,3012,0.4175086193895836,0.4168454743085397
21,4.25,3008,0.41784124497158165,0.41716480455478705
21,4.75,3004,0.41812258205681246,0.4174288637820704
21,5.25,3003,0.41818700714957135,0.4174742966382619
21,5.75,3000,0.4183821635820845,0.4176489382015439
21,6.25,2999,0.41842402094538766,0.4176690714904314
21,6.75,2996,0.4185789048543137,0.41780108175066455
21,7.25,2990,0.41890870825238946,0.41810617009009615
21,7.75,2987,0.4190158659409087,0.4181876720384124
21,8.25,2984,0.41909692072657506,0.41824256412510075
21,8.75,2982,0.4190644560046511,0.4181844967993309
21,9.25,2976,0.41928509545194126,0.4183783640139843
21,9.75,2970,0.41946738101711334,0.4185333163798393
21,10.25,2970,0.41921347108434176,0.4182531858000507
21,10.75,2969,0.41902101990382057,0.41803464006260216
21,11.25,2967,0.4188863518130273,0.4178737359894359
21,11.75,2966,0.4186448653621248,0.4176061188808634
21,12.25,2962,0.4185708649042911,0.4175058902265604
21,12.75,2959,0.41824663403533086,0.4171566927865822
21,13.25,2954,0.41801174630522864,0.4168963670644398
21,13.75,2948,0.4178061776129875,0.4166658127135123
21,14.25,2943,0.41751808758140957,0.4163541226589641
21,14.75,2939,0.41713968753139646,0.415953330343219
21,15.25,2933,0.41690076733512127,0.4156924936268345
21,15.75,2928,0.4165817254658605,0.41535317556824825
21,16.25,2921,0.41639054801138276,0.41514239182864493
21,16.75,2919,0.4158010425953334,0.414535960049316
21,17.25,2910,0.41565124770149015,0.4143696595934681
21,17.75,2909,0.4148751399230583,0.4135800158821061
21,18.25,2902,0.41450531538336544,0.41319820738045443
21,18.75,2897,0.41396589727926125,0.4126494720149498
21,19.25,2893,0.41333483104311797,0.41201148725967257
21,19.75,2886,0.41291490775213535,0.41158560634919616
21,20.25,2879,0.41244283001825194,0.41110970433948457
21,20.75,2873,0.41187425809747363,0.41053954132948134
21,21.25,2870,0.41108002673099775,0.40974614041337126
21,21.75,2863,0.4105471771534277,0.40921482584443336
21,22.25,2857,0.40990920120760194,0.40858053636186303
21,22.75,2851,0.4091446523561685,0.40782141762453483
21,23.25,2845,0.4083662773767167,0.4070513332887504
21,23.75,2840,0.40750077280359315,0.40619676021741086
21,24.25,2832,0.4068294374129183,0.40553799423558295
21,24.75,2825,0.4060113894692183,0.4047347149995915
21,25.25,2822,0.404851780773047,0.403592594735385
21,25.75,2814,0.40399421118837253,0.4027538543623177
21,26.25,2808,0.40296117522881864,0.4017419440246273
21,26.75,2800,0.4020774737829783,0.4008807584810832
21,27.25,2796,0.40087767101828925,0.39970687380988085
21,27.75,2787,0.4000111610679709,0.3988667951893227
