run_id,status,rows,wepl_min_mm,wepl_max_mm,wepl_mean_mm
338,written,51507,0.0,226.8328399658203,134.8802947998047
339,written,51809,0.0,229.35194396972656,134.3846893310547
340,written,51850,0.0,229.05270385742188,134.91763305664062
341,written,51215,0.0,228.91748046875,134.6913604736328
342,written,51631,0.0,231.298095703125,134.83428955078125
343,written,51769,0.0,229.7612762451172,134.85842895507812
344,written,52040,0.0,231.54522705078125,134.55630493164062
345,written,51614,0.0,235.3787841796875,134.60665893554688
346,written,51894,0.0,233.58155822753906,134.3714141845703
347,written,51633,0.0,239.34759521484375,134.37869262695312
348,written,52204,0.0,235.73072814941406,134.208984375
349,written,51905,0.0,236.6938018798828,134.40438842773438
350,written,51940,0.0,239.00347900390625,134.67086791992188
351,written,51370,0.0,236.76632690429688,135.37648010253906
352,written,51833,0.0,239.26502990722656,134.09022521972656
353,written,51353,0.0,243.02757263183594,134.69200134277344
354,written,51581,0.0,239.3158721923828,134.61705017089844
355,written,51619,0.0,238.67776489257812,133.70510864257812
356,written,51791,0.0,241.8574676513672,135.0250244140625
357,written,51571,0.0,238.65435791015625,134.41493225097656
358,written,51717,0.0,240.7775421142578,134.73947143554688
359,written,51302,0.0,241.89976501464844,134.35409545898438
360,written,51598,0.0,243.00621032714844,134.45724487304688
361,written,52011,0.0,242.56658935546875,134.29786682128906
362,written,51684,0.0,241.5016632080078,134.39144897460938
363,written,51734,0.0,236.429931640625,134.68678283691406
364,written,51707,0.0,239.27389526367188,134.53968811035156
365,written,51558,0.0,239.42477416992188,134.23373413085938
366,written,51879,0.0,239.2411346435547,134.60826110839844
367,written,51787,0.0,241.61387634277344,134.15216064453125
368,written,51366,0.0,239.1300506591797,135.01072692871094
369,written,51885,0.0,236.7718048095703,134.24143981933594
370,written,51312,0.0,237.1471710205078,134.3917694091797
371,written,51970,0.0,237.25819396972656,134.09678649902344
372,written,51710,0.0,238.59837341308594,134.30010986328125
373,written,51423,0.0,239.07752990722656,134.6939239501953
374,written,51208,0.0,239.49127197265625,134.6209716796875
375,written,51848,0.0,239.1852569580078,134.98260498046875
376,written,51412,0.0,237.15415954589844,134.41049194335938
377,written,51638,0.0,241.10374450683594,134.41603088378906
378,written,51369,0.0,238.57452392578125,134.0584716796875
379,written,51692,0.0,238.73489379882812,134.76980590820312
380,written,51304,0.0,240.6343994140625,134.43789672851562
381,written,51927,0.0,241.54872131347656,134.68482971191406
382,written,51985,0.0,240.63064575195312,134.16224670410156
383,written,51783,0.0,238.59376525878906,134.51971435546875
384,written,52271,0.0,240.89317321777344,134.5443115234375
385,written,52323,0.0,241.23387145996094,134.14031982421875
