run_id,seed,fraction,parent,selected,status
595,20260730,0.2,60391,48327,written
596,20260730,0.2,60373,48275,written
597,20260730,0.2,60277,48194,written
598,20260730,0.2,59901,47716,written
599,20260730,0.2,60231,48225,written
600,20260730,0.2,60918,48614,written
602,20260730,0.2,60279,48166,written
601,20260730,0.2,60107,48247,written
603,20260730,0.2,60275,48277,written
604,20260730,0.2,60379,48257,written
605,20260730,0.2,60208,48099,written
607,20260730,0.2,60617,48474,written
606,20260730,0.2,60676,48537,written
608,20260730,0.2,60228,48116,written
609,20260730,0.2,60313,48121,written
610,20260730,0.2,60337,48289,written
611,20260730,0.2,60745,48552,written
612,20260730,0.2,60357,48433,written
613,20260730,0.2,60100,48159,written
614,20260730,0.2,60180,48048,written
615,20260730,0.2,60346,48398,written
616,20260730,0.2,60158,47943,written
617,20260730,0.2,60360,48226,written
618,20260730,0.2,60152,48211,written
619,20260730,0.2,60526,48380,written
620,20260730,0.2,60210,48134,written
622,20260730,0.2,60339,48382,written
621,20260730,0.2,60342,48325,written
623,20260730,0.2,60361,48140,written
624,20260730,0.2,59960,47939,written
626,20260730,0.2,60212,48266,written
625,20260730,0.2,60290,48303,written
627,20260730,0.2,60637,48637,written
628,20260730,0.2,60470,48650,written
629,20260730,0.2,60105,48172,written
630,20260730,0.2,60065,47883,written
631,20260730,0.2,60754,48611,written
632,20260730,0.2,59766,47822,written
634,20260730,0.2,60285,48120,written
633,20260730,0.2,60252,48207,written
635,20260730,0.2,60181,47953,written
636,20260730,0.2,59865,47879,written
637,20260730,0.2,59960,48044,written
638,20260730,0.2,60188,48296,written
639,20260730,0.2,60054,48044,written
640,20260730,0.2,60353,48317,written
641,20260730,0.2,59939,47696,written
642,20260730,0.2,60195,48207,written
643,20260730,0.2,60389,48366,written
644,20260730,0.2,60770,48702,written
645,20260730,0.2,60285,48169,written
646,20260730,0.2,59827,47879,written
647,20260730,0.2,60464,48288,written
648,20260730,0.2,60193,47993,written
650,20260730,0.2,60526,48403,written
649,20260730,0.2,60003,47979,written
651,20260730,0.2,60008,48236,written
652,20260730,0.2,59992,48078,written
653,20260730,0.2,60487,48349,written
654,20260730,0.2,60139,48001,written
655,20260730,0.2,60271,48084,written
656,20260730,0.2,60552,48431,written
657,20260730,0.2,60512,48446,written
658,20260730,0.2,60534,48472,written
660,20260730,0.2,59929,47833,written
659,20260730,0.2,59807,47858,written
661,20260730,0.2,60074,48081,written
662,20260730,0.2,60355,48280,written
663,20260730,0.2,59917,48052,written
664,20260730,0.2,60554,48359,written
665,20260730,0.2,59939,47998,written
666,20260730,0.2,60089,48320,written
667,20260730,0.2,59857,47848,written
668,20260730,0.2,60231,48049,written
669,20260730,0.2,60109,48012,written
670,20260730,0.2,60349,48185,written
671,20260730,0.2,60228,48106,written
672,20260730,0.2,60050,48044,written
673,20260730,0.2,60443,48395,written
674,20260730,0.2,59898,47826,written
676,20260730,0.2,60273,48358,written
675,20260730,0.2,60415,48183,written
677,20260730,0.2,60365,48350,written
678,20260730,0.2,60441,48404,written
680,20260730,0.2,60460,48368,written
679,20260730,0.2,60507,48467,written
682,20260730,0.2,59957,47876,written
681,20260730,0.2,59970,47926,written
683,20260730,0.2,60540,48538,written
684,20260730,0.2,60491,48461,written
685,20260730,0.2,60400,48276,written
686,20260730,0.2,60273,48406,written
688,20260730,0.2,60007,48014,written
687,20260730,0.2,60382,48366,written
689,20260730,0.2,59970,47996,written
690,20260730,0.2,60358,48251,written
691,20260730,0.2,60239,48202,written
692,20260730,0.2,60411,48385,written
693,20260730,0.2,60201,47961,written
694,20260730,0.2,60391,48188,written
695,20260730,0.2,60126,48010,written
696,20260730,0.2,60365,48187,written
697,20260730,0.2,59968,48045,written
698,20260730,0.2,60036,47945,written
699,20260730,0.2,60372,48366,written
700,20260730,0.2,60221,48263,written
701,20260730,0.2,60415,48307,written
702,20260730,0.2,60345,48179,written
703,20260730,0.2,59958,48004,written
704,20260730,0.2,60315,48081,written
705,20260730,0.2,60528,48351,written
707,20260730,0.2,60676,48533,written
706,20260730,0.2,60436,48279,written
708,20260730,0.2,60665,48692,written
709,20260730,0.2,60467,48334,written
711,20260730,0.2,60116,48018,written
710,20260730,0.2,59882,47830,written
712,20260730,0.2,60395,48521,written
713,20260730,0.2,60222,48017,written
714,20260730,0.2,60765,48615,written
716,20260730,0.2,60441,48537,written
715,20260730,0.2,60103,48290,written
717,20260730,0.2,60229,48142,written
718,20260730,0.2,60182,48265,written
719,20260730,0.2,60285,48300,written
0,20260730,0.175,59956,41888,written
2,20260730,0.175,60204,42174,written
3,20260730,0.175,60153,41988,written
1,20260730,0.175,60418,42480,written
4,20260730,0.175,60382,42185,written
6,20260730,0.175,59977,42086,written
7,20260730,0.175,60475,42388,written
5,20260730,0.175,60083,41984,written
8,20260730,0.175,60163,42137,written
9,20260730,0.175,60088,42206,written
10,20260730,0.175,59854,41892,written
11,20260730,0.175,60120,42030,written
12,20260730,0.175,60108,42202,written
13,20260730,0.175,60351,42328,written
14,20260730,0.175,60241,42224,written
