run_id,paired,physical,filtered_support_hit,train,validation,test,screen_train,pairs_sha256,events_sha256,partition_sha256,wepl_mean_mm,wepl_min_mm,wepl_max_mm,air_only_count,air_only_residual_sum_mm,air_only_residual_abs_sum_mm,inside_grid,outside_grid,selected,train_count,fallback_bins,occupied_bins,status
44,1899650,1899650,1232491,986513,122876,123102,98000,a151a39270bfad731f606c231ff250bfa24d7cb2231df67855ee5d4c5fe7e625,c0be02a923363c113427c17908e8549d5ec3177e6b09840d5cf698a15b0b5e78,e994cb198607c2ca918ad002edb2af96258234ccdc72db9d3150dcdbab988f63,71.55690002441406,0.0,120.36968231201172,591967,-3098.0065544429235,24357.2171374612,1876693,22957,1824458,1519968,0,1200,PASS
45,1899970,1899970,1232146,985923,123100,123123,98445,99c5c591ca1171ab2a70656725e0c520cfe9f85eebfef99f13bb4b6dd787e019,db2511024c44b6336100cc939655d318b2db107bd6fb090b7729e807eb6567e4,5c88b718022528c90adcbf60dab397e8a72fc57481d59bb53cd3fe847681e242,71.54740142822266,0.0,121.19656372070312,592970,-3219.081690970717,24245.27799980899,1877019,22951,1825116,1520620,0,1200,PASS
46,1898641,1898641,1231450,985754,123210,122486,98717,c441f4ea328a85af0fb3929b6ba78463a50500c1c5dc5f5d53c045ea8dcf4473,5822755f9150d2f1ba6b8aa73b49b4fa5f2bb767e9ff30a86f22f2646255ad9d,5ef6c2dd7e861aab8d37389237c05a7f1e5c3d6db410a0e9bf1de031a0ed16a4,71.52848052978516,0.0,123.42599487304688,592218,-3282.484249888271,24128.881147579563,1875657,22984,1823668,1519572,0,1200,PASS
47,1905112,1905112,1235225,988638,123079,123508,99183,c197089e4e315ba5531bbeaf55d3a4761da945a906fe2cafbf5ef6acaee575aa,0f251536a8cc9b22709ee329b8b121da942f805d420a1a165c55ecabe47f482f,d6c8a1b043ff14c2798283a931f133799c0ce71451b30571a16f1f5afa7fb230,71.60405731201172,0.0,137.32440185546875,594947,-3257.3360360998217,24327.50667606978,1882083,23029,1830172,1523997,0,1200,PASS
48,1900392,1900392,1233225,986760,123294,123171,98488,50157ff31c0035cd7a93f0f5231d2e822a3f1dadcaddf438eddf3f2d50bf1bea,d0773c6f2a4911c0afd4a69e0363343f14ca3b67507e0bc330671b630521185f,d616902201f3580e95ceaff2d369f7377a9f2654335434a3e5ff11b517f67c39,71.54589080810547,0.0,126.5125961303711,592454,-3236.780713536601,24247.56459224779,1877623,22769,1825679,1520452,0,1200,PASS
49,1901884,1901884,1232426,985060,123162,124204,98481,fb0556ad787eda6eb8dfcc9bcae0f271b8fc1484ef59fefca76da1d99b1fd272,d2553f3b40e54820391ae51c26668a0c5db010cea4640e77ed028d876387ee52,7d25d1ffc5f3c55ecc3bd821661498d8e28292eb23bcbaa768cc3c79ebaa9573,71.58650970458984,0.0,119.60506439208984,594122,-3291.251621103872,24272.669895143423,1879007,22877,1826548,1520639,0,1200,PASS
50,1899702,1899702,1231539,986059,122772,122708,98945,017d64dcf30bbdda7b5bb56a8c290c94cac55ce0efc5e28f3ce250235a4a1470,2468caf30c9d289270bdc8deff1618bfd972d518aa131e12e82b57fc98b481e2,bbb8ffaaa701d033d4a58a5ada2e467bf4dbc7e78119849d396781efe46d064a,71.5792236328125,0.0,122.02571868896484,593358,-3116.539966987225,24366.90428032743,1877040,22662,1824897,1520532,0,1200,PASS
51,1900265,1900265,1232133,984758,123684,123691,98263,5e8822f27c92425e98e03236283c037f2e9ce90d62b20bea7292c6a496a64e6f,181e88cdfc6d87be3e29bbf20c2cf8629ac8026908a15b51fc49c4c4a6514bcb,82cb5126ca872d2d2eb2e179b6796a1b6b7f986d46ff13927d7d3a8667bb7388,71.5169448852539,0.0,125.4019775390625,593671,-3379.513261254561,24123.16599426206,1877464,22801,1825804,1518865,0,1200,PASS
52,1902413,1902413,1233564,987733,123195,122636,99018,b0ad0642b2a7c96ba466f56f1ea8a7a2a966c32091eed2e4eafe23740195460d,1d4329e9ddca5d3e1a9f247ccd9106b963fba79ed9f91083916398276b23721b,1c2711923e29730ee8105e6bb3a81c900afa5da31e2225e609a0f0e314e3768d,71.5932846069336,0.0,134.36285400390625,593798,-3506.4244286589555,23968.676996720482,1879635,22778,1827362,1522870,0,1200,PASS
53,1899570,1899570,1231482,985232,123341,122909,98828,d4640a2286c4514ac7527c1994c49d82225691a0699040ea772c6a3323156754,01ce10f949c7c5e7672eb3c3467027f018759f56c4cbbf3ba68bfd4248774585,17ccaa7e648d3965f0842788967779d272cfb8c69746bcff40499537df39435c,71.54727935791016,0.0,121.31681060791016,593597,-3401.5336641113145,24104.605363190203,1876713,22857,1825079,1519713,0,1200,PASS
54,1902945,1902945,1234298,987896,123147,123255,98632,c5e1eba200243b1fef6b5bfb34c9b587961433afe1d9d4480fc8fbbcef1ded4c,62a59a380e0b35260001508c4de8944716138298bc52fe42b37463b4cb7fba8b,c2403975b73cc514428db15ad35589bde1059d975ccecff1535ca82867c9876b,71.59036254882812,0.0,119.01924133300781,593599,-3353.6085137957634,24185.08057529381,1879694,23251,1827897,1523008,0,1200,PASS
55,1898994,1898994,1230987,985241,122962,122784,98693,4e4bb3abca2745fec3813f80200aabba25a71002056c0fd4b4b46bd35520b317,bc8733c73f93f3071bff01a345b4bc96fd4d75521183bcce8ee7885dd3b38cfc,ad7ab016bdb3e287423788eec2f6594d66f44411462130d187ca43d1161dbd10,71.54566192626953,0.0,125.65412139892578,592938,-3374.8756246974413,24072.553390923764,1876252,22742,1823925,1519594,0,1200,PASS
56,1900996,1900996,1233051,986208,123773,123070,98224,bd5a283e8d1768a0b243f12cbe07e2482327cc8ea98c37dbaadfbb4c2473ee16,4535f60c6fe7357317ab16c7acad429f7c21e0d912dbf2723489a4a594262983,09bfa3dbdd02069120fdbf5e96c089c82f1c14664b7e73cdde3cfdc4edff9d0a,71.59786987304688,0.0,122.52775573730469,592512,-3272.0795532272537,24103.715535861917,1878289,22707,1825563,1520529,0,1200,PASS
57,1904074,1904074,1233482,986512,123597,123373,98436,a5355c50b118a679c3ad6319eaeed82dd5f88a410b89e8684be9cd7c60247103,ee8e9ae8778e4fc1de98b5fe676bb1e6a4482bb0b59a29c6bbace8fe2f0824c3,a789dd7cef0995798cb6cd65aa7a5198b34d0ed25a29579844669149a77ef061,71.60829162597656,0.0,125.22554016113281,594813,-3276.3032069727387,24278.023723606057,1881074,23000,1828295,1522673,0,1200,PASS
58,1900972,1900972,1232638,986280,122703,123655,98545,a5259737677660e7b31fd5e7c108d4b813ef1584144fae1aeef3064b11676624,91c2d1aa7cbc958569df8982628aa83f42359df2a9f5250e45b46d5e407088e6,360f02682aa4d56ca623ef9d90e39f7a44fdd072b4240ce322b3b8d4e4def91d,71.60271453857422,0.0,121.70600128173828,593025,-3277.7261961192116,24193.612430178095,1877940,23032,1825663,1521245,0,1200,PASS
59,1900604,1900604,1233411,987144,122777,123490,98980,3460da434876409e552f0ae7ea25c5bd1988d8339f0c7f7c8cca06dff79a09fb,d3dfc76600b1cb487aede56a7e03fdaca9c18bf1517bc687690614f0cb656dd6,f07aa970039fd7a67a810708003ccf5b1ba9b9ace53fc39c40376abf03616852,71.57521057128906,0.0,131.6332244873047,592009,-3581.1248320240807,23891.842423367973,1877735,22869,1825420,1520924,0,1200,PASS
60,1900924,1900924,1232117,985861,122607,123649,98426,78a5a974754f4ea91c0ba7953688e8894f197e326d0858d60b6a496f99538423,5b504ae9a2d852f9e28b57e1f5d84c49ebbec787315784d9fd4b159b0c598d62,70d64e470546d2b2c5b41f26de5b01318329c1543d58882751eba5783a9dd4c7,71.59198760986328,0.0,123.73692321777344,593582,-3410.0748206679436,24128.392910121915,1878215,22709,1825699,1521309,0,1200,PASS
