case_id,energy_mev,thickness_mm,ionization_potential_ev,median_wepl_mm,median_rsp_bias_percent
water_e220_t0005,220.0,5.0,74.5,4.944719262322394,-1.10561475355212
water_e220_t0010,220.0,10.0,74.5,9.981749886663692,-0.18250113336307772
water_e220_t0020,220.0,20.0,74.5,20.083046952618474,0.41523476309237584
water_e220_t0050,220.0,50.0,74.5,50.37059851944031,0.7411970388806033
water_e220_t0100,220.0,100.0,74.5,100.81805803119329,0.8180580311932806
water_e150_t0005,150.0,5.0,75.0,4.991906005338109,-0.16187989323782626
water_e150_t0010,150.0,10.0,75.0,10.038292414756896,0.38292414756895266
water_e150_t0020,150.0,20.0,75.0,20.135097539572058,0.6754876978602997
water_e150_t0050,150.0,50.0,75.0,50.415941745136124,0.831883490272256
water_e150_t0100,150.0,100.0,75.0,100.89547693447356,0.8954769344735602
water_e180_t0005,180.0,5.0,75.0,4.975245973592195,-0.49508052815611103
water_e180_t0010,180.0,10.0,75.0,10.022506526416635,0.22506526416634642
water_e180_t0020,180.0,20.0,75.0,20.125034157633706,0.6251707881685276
water_e180_t0050,180.0,50.0,75.0,50.439248276698294,0.8784965533965794
water_e180_t0100,180.0,100.0,75.0,100.90938564584931,0.9093856458493033
water_e200_t0005,200.0,5.0,75.0,4.95753765512535,-0.8492468974930056
water_e200_t0010,200.0,10.0,75.0,10.008884771594325,0.08884771594324103
water_e200_t0020,200.0,20.0,75.0,20.113980785829625,0.56990392914813
water_e200_t0050,200.0,50.0,75.0,50.41289350843448,0.8257870168689507
water_e200_t0100,200.0,100.0,75.0,100.91262460560367,0.9126246056036624
water_e220_t0005,220.0,5.0,75.0,4.948598827369153,-1.028023452616933
water_e220_t0010,220.0,10.0,75.0,9.98958531632212,-0.10414683677879566
water_e220_t0020,220.0,20.0,75.0,20.098827573634708,0.49413786817353866
water_e220_t0050,220.0,50.0,75.0,50.41030425901235,0.8206085180247014
water_e220_t0100,220.0,100.0,75.0,100.89800219045182,0.8980021904518187
water_e150_t0005,150.0,5.0,75.5,4.995958336273702,-0.0808332745259599
water_e150_t0010,150.0,10.0,75.5,10.046449507949347,0.46449507949346547
water_e150_t0020,150.0,20.0,75.5,20.151493499013696,0.7574674950684868
water_e150_t0050,150.0,50.0,75.5,50.45728352307695,0.9145670461539135
water_e150_t0100,150.0,100.0,75.5,100.97950572687418,0.9795057268741747
water_e180_t0005,180.0,5.0,75.5,4.979207411271915,-0.4158517745617041
water_e180_t0010,180.0,10.0,75.5,10.030492435203541,0.30492435203541834
water_e180_t0020,180.0,20.0,75.5,20.141093248227065,0.7054662411353219
water_e180_t0050,180.0,50.0,75.5,50.47968826465748,0.9593765293149703
water_e180_t0100,180.0,100.0,75.5,100.9910557097149,0.9910557097148942
water_e200_t0005,200.0,5.0,75.5,4.961442189265995,-0.7711562146801021
water_e200_t0010,200.0,10.0,75.5,10.016772362520214,0.167723625202143
water_e200_t0020,200.0,20.0,75.5,20.129850855448268,0.6492542772413401
water_e200_t0050,200.0,50.0,75.5,50.45282223967655,0.9056444793531071
water_e200_t0100,200.0,100.0,75.5,100.99313854133632,0.9931385413363136
water_e220_t0005,220.0,5.0,75.5,4.952458646267701,-0.9508270746459879
water_e220_t0010,220.0,10.0,75.5,9.997380871352902,-0.026191286470977904
water_e220_t0020,220.0,20.0,75.5,20.11452791165607,0.5726395582803523
water_e220_t0050,220.0,50.0,75.5,50.44980819564316,0.8996163912863064
water_e220_t0100,220.0,100.0,75.5,100.9775407835566,0.9775407835566075
water_e150_t0005,150.0,5.0,76.0,4.999990438418763,-0.00019123162473544397
water_e150_t0010,150.0,10.0,76.0,10.05456589506926,0.5456589506926068
water_e150_t0020,150.0,20.0,76.0,20.16780769363649,0.8390384681824514
water_e150_t0050,150.0,50.0,76.0,50.49841960570342,0.9968392114068303
water_e150_t0100,150.0,100.0,76.0,101.06311861086739,1.0631186108673862
water_e180_t0005,180.0,5.0,76.0,4.983148951704237,-0.3370209659152579
water_e180_t0010,180.0,10.0,76.0,10.038438241906675,0.3843824190667533
water_e180_t0020,180.0,20.0,76.0,20.15707173367221,0.785358668361047
water_e180_t0050,180.0,50.0,76.0,50.51992557798883,1.0398511559776669
water_e180_t0100,180.0,100.0,76.0,101.07231770602375,1.072317706023762
water_e200_t0005,200.0,5.0,76.0,4.965327045114492,-0.6934590977101585
water_e200_t0010,200.0,10.0,76.0,10.024620208372596,0.24620208372596597
water_e200_t0020,200.0,20.0,76.0,20.145640986656247,0.728204933281229
water_e200_t0050,200.0,50.0,76.0,50.49255008818042,0.9851001763608425
water_e200_t0100,200.0,100.0,76.0,101.07324834622989,1.0732483462298825
water_e220_t0005,220.0,5.0,76.0,4.956298953939495,-0.8740209212101058
water_e220_t0010,220.0,10.0,76.0,10.005137026158366,0.05137026158366087
water_e220_t0020,220.0,20.0,76.0,20.130148921739305,0.6507446086965185
water_e220_t0050,220.0,50.0,76.0,50.48911272931119,0.9782254586223837
water_e220_t0100,220.0,100.0,76.0,101.05667863149483,1.056678631494834
water_e150_t0005,150.0,5.0,76.5,5.0040025500588285,0.08005100117656205
water_e150_t0010,150.0,10.0,76.5,10.062642055568688,0.6264205556868685
water_e150_t0020,150.0,20.0,76.5,20.18404108632953,0.920205431647636
water_e150_t0050,150.0,50.0,76.5,50.53935241388179,1.078704827763577
water_e150_t0100,150.0,100.0,76.5,101.14632047490468,1.146320474904683
water_e180_t0005,180.0,5.0,76.5,4.987070829652907,-0.258583406941848
water_e180_t0010,180.0,10.0,76.5,10.04634441964383,0.4634441964383118
water_e180_t0020,180.0,20.0,76.5,20.172970564804928,0.8648528240246423
water_e180_t0050,180.0,50.0,76.5,50.5599626065505,1.119925213101003
water_e180_t0100,180.0,100.0,76.5,101.1531764426994,1.1531764426994107
water_e200_t0005,200.0,5.0,76.5,4.969192455055548,-0.6161508988890341
water_e200_t0010,200.0,10.0,76.5,10.032428778484018,0.3242877848401715
water_e200_t0020,200.0,20.0,76.5,20.161352123316306,0.8067606165815366
water_e200_t0050,200.0,50.0,76.5,50.53207942508399,1.0641588501679955
water_e200_t0100,200.0,100.0,76.5,101.15295878753963,1.1529587875396263
water_e220_t0005,220.0,5.0,76.5,4.960119980996865,-0.7976003800627018
water_e220_t0010,220.0,10.0,76.5,10.012854246393715,0.12854246393714241
water_e220_t0020,220.0,20.0,76.5,20.14569154136217,0.7284577068108478
water_e220_t0050,220.0,50.0,76.5,50.52822021588199,1.056440431763983
water_e220_t0100,220.0,100.0,76.5,101.13542046646174,1.135420466461734
water_e150_t0005,150.0,5.0,77.0,5.0079949051099675,0.15989810219934064
water_e150_t0010,150.0,10.0,77.0,10.070678460119296,0.7067846011929557
water_e150_t0020,150.0,20.0,77.0,20.200194622349017,1.0009731117450738
water_e150_t0050,150.0,50.0,77.0,50.580084324206084,1.1601686484121743
water_e150_t0100,150.0,100.0,77.0,101.22911611811901,1.2291161181190002
water_e180_t0005,180.0,5.0,77.0,4.990973275574078,-0.18053448851844678
water_e180_t0010,180.0,10.0,77.0,10.054211432861123,0.5421143286112429
water_e180_t0020,180.0,20.0,77.0,20.188790675060687,0.9439533753034413
water_e180_t0050,180.0,50.0,77.0,50.59980169645817,1.1996033929163374
water_e180_t0100,180.0,100.0,77.0,101.23363663971577,1.2336366397157628
water_e200_t0005,200.0,5.0,77.0,4.973038647209108,-0.5392270558178369
water_e200_t0010,200.0,10.0,77.0,10.040198533581133,0.4019853358113279
water_e200_t0020,200.0,20.0,77.0,20.17698519199891,0.8849259599945425
water_e200_t0050,200.0,50.0,77.0,50.57141257811304,1.1428251562260794
water_e200_t0100,200.0,100.0,77.0,101.23227454529277,1.2322745452927775
water_e220_t0005,220.0,5.0,77.0,4.963921953806562,-0.7215609238687692
water_e220_t0010,220.0,10.0,77.0,10.020532989159904,0.20532989159902648
water_e220_t0020,220.0,20.0,77.0,20.161156690754297,0.8057834537714914
water_e220_t0050,220.0,50.0,77.0,50.56713296792887,1.1342659358577478
water_e220_t0100,220.0,100.0,77.0,101.2137709338607,1.2137709338607028
water_e150_t0005,150.0,5.0,77.5,5.011967733245143,0.23935466490285773
water_e150_t0010,150.0,10.0,77.5,10.078675570848333,0.7867557084833221
water_e150_t0020,150.0,20.0,77.5,20.21626922978851,1.0813461489425524
water_e150_t0050,150.0,50.0,77.5,50.62061767013293,1.241235340265856
water_e150_t0100,150.0,100.0,77.5,101.31151025258347,1.3115102525834699
water_e180_t0005,180.0,5.0,77.5,4.994856515728998,-0.10286968542004837
water_e180_t0010,180.0,10.0,77.5,10.062039737564376,0.6203973756437664
water_e180_t0020,180.0,20.0,77.5,20.2045329809026,1.0226649045129932
water_e180_t0050,180.0,50.0,77.5,50.63944515117814,1.2788903023562836
water_e180_t0100,180.0,100.0,77.5,101.31370293129491,1.3137029312949133
water_e200_t0005,200.0,5.0,77.5,4.976865845566721,-0.46268308866558305
water_e200_t0010,200.0,10.0,77.5,10.047929926039188,0.4792992603918744
