case_id,material,energy_mev,thickness_mm,plane,tree_entries,primary_entries_raw,primary_unique_events,duplicate_primary_events,finite,position_z_mean_mm,position_z_std_mm,position_z_expected_mm,position_z_max_abs_error_mm,root_bytes
aluminium_e220_t0050,Aluminium,220.0,50.0,in,99928,99845,99845,0,True,-25.499999499999998,3.552713678800501e-15,-25.5,4.999999987376214e-07,2844478
aluminium_e220_t0050,Aluminium,220.0,50.0,out,91621,88246,88246,0,True,25.500000499999995,3.552713678800501e-15,25.5,4.999999987376214e-07,5354129
air_e220_t0020,Air,220.0,20.0,in,99800,99800,99800,0,True,-10.4999995,0.0,-10.5,5.000000005139782e-07,2831651
air_e220_t0020,Air,220.0,20.0,out,99801,99798,99798,0,True,10.5000005,0.0,10.5,5.000000005139782e-07,5520440
air_e220_t0220,Air,220.0,220.0,in,100173,100172,100172,0,True,-110.49999950000006,5.684341886080802e-14,-110.5,4.999999987376214e-07,2838049
air_e220_t0220,Air,220.0,220.0,out,100138,100132,100132,0,True,110.50000049999994,5.684341886080802e-14,110.5,4.999999987376214e-07,5619613
air_e220_t1000,Air,220.0,1000.0,in,100037,100035,100035,0,True,-500.49999949999994,5.684341886080802e-14,-500.5,4.999999987376214e-07,2833985
air_e220_t1000,Air,220.0,1000.0,out,99811,99801,99801,0,True,500.5000005,0.0,500.5,4.999999987376214e-07,5667915
air_e220_t2000,Air,220.0,2000.0,in,99968,99967,99967,0,True,-1000.4999995000002,2.2737367544323206e-13,-1000.5,5.000000555810402e-07,2836771
air_e220_t2000,Air,220.0,2000.0,out,98778,98773,98773,0,True,1000.5000004999997,3.410605131648481e-13,1000.5,5.000000555810402e-07,5632324
